ID,Word,Vowel,F0,F1,F2,F3,Sex,L1,Height
1,heed,i,120,319,2522,3299,M,English,69
1,hayed,e,115,418,2119,3631,M,English,69
1,hawed,a,115,558,1044,2677,M,English,69
1,who'd,u,122,317,874,2668,M,English,69
1,hoed,o,119,457,1044,2587,M,English,69
2,heed,i,180,383,2756,3159,F,English,62
2,hayed,e,181,503,2596,2937,F,English,62
2,hawed,a,177,785,1509,2817,F,English,62
2,who'd,u,201,383,1208,2837,F,English,62
2,hoed,o,185,544,1208,2817,F,English,62
3,heed,i,201,354,2816,3392,F,English,67
3,hayed,e,203,335,2419,2995,F,English,67
3,hawed,a,205,871,1308,3074,F,English,67
3,whod,u,207,296,1209,3034,F,English,67
3,hoed,o,206,276,1249,2975,F,English,67
4,heed,i,126,286,2268,2832,M,English,70
4,heyed,e,127,363,2093,2307,M,English,70
4,hawed,a,124,124,1355,3376,M,English,70
4,who'd,u,126,325,1180,2599,M,English,70
4,hoed,o,124,461,1005,3104,M,English,70
5,heed,i,169.3,2469,3281,3772,M,Spanish,67
5,hayed,e,142.3,2170,2704,3750,M,Spanish,67
5,hawed,a,132.9,2939,3387,4583,M,Spanish,67
5,who'd,u,143.6,2576,3537,4220,M,Spanish,67
5,hoed,o,127.3,2661,3729,4583,M,Spanish,67
6,heed,i,122,530,3032,3722,M,English,62
6,hayed,e,133,369,2856,3289,M,English,62
6,hawed,a,120,466,979,2599,M,English,62
6,who'd,u,123,305,1108,2695,M,English,62
6,hoed,o,122,385,963,2952,M,English,62
7,heed,i,180.4,2756,3616,3930,,spanish,68
7,hayed,e,180.2,2756,3343,3972,,spanish,68
7,hawed,a,179.3,1204,2819,4056,,spanish,68
7,who'd,u,198.4,1393,2798,4098,,spanish,68
7,hoed,o,183.8,1037,2693,3700,,spanish,68
